time,date,Source,News_Headlines
10.46 am,2016-02-16,PTI,"Top three cos add Rs 34,256 cr in m-cap; TCS shines"
1.52 pm,2016-02-17,Moneycontrol.com,Hold TCS; target of Rs 190 : Arihant Capital
8.00 pm,2016-02-18,PTI,TCS Wins the National Intellectual Property Award
5.23 pm,2016-02-19,Moneycontrol.com,Buy TCS; target of Rs 2750: ICICIDirect
3.47 pm,2016-02-20,Moneycontrol.com,Hold TCS; target of Rs 2546: Axis Securities
2.48 pm,2016-02-21,PTI,"Vistara, TCS enter into strategic partnership"
10.52 am,2016-02-22,Moneycontrol.com,Vistara & TCS in strategic partnership
3.23 pm,2016-02-23,CNBC-TV18,"Buy Firstsource Solutions; sell TCS, Ambuja Cements: Gujral"
9.01 am,2016-02-24,CNBC-TV18,Infosys to see upside if growth rate surpasses 13%: Moshe Katri
8.36 am,2016-02-25,PTI,Wipro aims $15 bn revenue by 2020
5.25 pm,2016-02-26,Moneycontrol.com,TCS vs Infosys vs Wipro: Key Q4 numbers in one chart
5.19 pm,2016-02-27,CNBC-TV18,Wipro Q4 in line; Q1FY17 guidance disappointing: Analysts
3.05 pm,2016-02-28,CNBC-TV18,"Buy TCS on declines, says CA Rudramurthy BV"
12.13 pm,2016-02-29,Moneycontrol.com,TCS slips 3% but analysts unperturbed by Q4 margin decline
10.44 am,2016-03-01,CNBC-TV18,"Buy TCS, HDFC for long term: Ashwani Gujral"
9.26 am,2016-03-02,CNBC-TV18,"TCS may test Rs 2595, Balrampur Chini Rs 115: Rajat Bose"
9.19 am,2016-03-03,CNBC-TV18,Infosys has higher upside compared to TCS: IDBI Cap
11.16 am,2016-03-04,Moneycontrol.com,Sell TCS; target of Rs 2300: Religare
11.16 am,2016-03-05,Moneycontrol.com,Buy TCS; target of Rs 2750: Sharekhan
9.16 pm,2016-03-06,PTI,TCS hikes wages by 8-12%; sees lower gross hiring in FY17
9.35 pm,2016-03-07,Moneycontrol.com,"TCS AGM on June 17, 2016"
10.44 am,2016-03-08,CNBC-TV18,"Short Axis Bank, TCS; like CESC, Manappuram Finance: Gaba"
11.22 am,2016-03-09,CNBC-TV18,"Buy Wipro 540 Call, TCS 2550 Call, Ceat 960 Put: VK Sharma"
2.09 pm,2016-03-10,CNBC-TV18,"Sell United Breweries, TCS; buy Unichem Labs: Ashwani Gujral"
11.18 am,2016-03-11,PTI,Major US media outlet outsourcing IT jobs to India: Report
10.34 am,2016-03-12,CNBC-TV18,"Buy TCS, target Rs 2650; short Nifty: Amit Gupta"
7.58 pm,2016-03-13,PTI,Daily wrap-up: Top stories from the world of tech & business
12.20 pm,2016-03-14,CNBC-TV18,"Buy GAIL India, BPCL, ONGC, enter IT stocks: Ashwani Gujral"
10.09 am,2016-03-15,CNBC-TV18,"Sun TV may test Rs 500, Infosys Rs 1400: Ashwani Gujral"
9.52 am,2016-03-16,CNBC-TV18,"Buy Infosys, SKS Microfinance: Sudarshan Sukhani"
11.23 am,2016-03-17,CNBC-TV18,"Reliance Industries may test Rs 1030, TCS Rs 2600: Prakash Gaba"
10.14 am,2016-03-18,CNBC-TV18,"Buy Sun Pharma 820 Call, TCS 2600 Call: VK Sharma"
8.47 am,2016-03-19,CNBC-TV18,Super Six stocks you can bet on May 13
4.15 pm,2016-03-20,CNBC-TV18,"Look at Infosys, says Avinnash Gorakssakar"
2.36 pm,2016-03-21,CNBC-TV18,"Buy TCS, Reliance Industries, Sun TV: Sudarshan Sukhani"
1.43 pm,2016-03-22,CNBC-TV18,"Buy Voltas 330 Call, TCS 2600 Call: Gaurav Bissa"
12.02 pm,2016-03-23,CNBC-TV18,"Buy BPCL, TCS, Reliance Industries: Ashwani Gujral"
1.15 pm,2016-03-24,CNBC-TV18,"Buy HUL, TCS, Shriram Transport Finance: Sudarshan Sukhani"
5.14 pm,2016-03-25,Moneycontrol.com,Hold TCS; target of Rs 2708: Geojit BNP Paribas
12.37 pm,2016-03-26,CNBC-TV18,"Buy JSW Steel, Bajaj Auto, GAIL; RIL may hit Rs 1040: Gujral"
9.37 am,2016-03-27,CNBC-TV18,TCS may test Rs 2660; short Federal Bank: Prakash Gaba
4.45 pm,2016-03-28,CNBC-TV18,TCS on track to lead the digital revolution: Cyrus Mistry
2.58 pm,2016-03-29,CNBC-TV18,"Buy TCS, Indiabulls Real Estate, ITC: Ashwani Gujral"
11.54 am,2016-03-30,Moneycontrol.com,Randstad partners with TCS to leverage public cloud marketplace
8.12 am,2016-03-31,PTI,"Desktops, laptops still popular mode of accessing Internet: TCS"
3.41 pm,2016-04-01,Reuters,"Cash-rich firms may deepen govt bond mkt, but spur volatility"
3.00 pm,2016-04-02,CNBC-TV18,"Buy DHFL, HPCL, Hindalco; sell TCS: Chandan Taparia"
1.04 pm,2016-04-03,CNBC-TV18,"Sell Tata Consultancy Services, target Rs 2560: CA Rudramurthy"
12.10 pm,2016-04-04,CNBC-TV18,Allowing unions in TN unlikely to impact IT industry: Mindtree
8.56 am,2016-04-05,PTI,Tatas extend Rs 56 cr funding to British Royal Society's URF
9.20 am,2016-04-06,CNBC-TV18,"Go long in YES Bank, sell TCS: Prakash Gaba"
10.57 am,2016-04-07,CNBC-TV18,"TCS may test Rs 2680, Dr Reddy's Rs 3240, Titan Rs 390: Gaba"
9.12 am,2016-04-08,CNBC-TV18,6 stocks likely to see lot of action today
5.29 pm,2016-04-09,Moneycontrol.com,"Wipro onsite employees to get 2% pay hike, offshore staff 9.5%"
2.20 pm,2016-04-10,CNBC-TV18,"Buy Hero MotoCorp, Infosys; sell Bharat Forge: Sudarshan Sukhani"
12.35 pm,2016-04-11,NEWS18.com,"Buy CONCOR, TCS, Siemens: Ashwani Gujral"
9.43 am,2016-04-12,CNBC-TV18,"Buy SBI, TCS, NMDC; Zee Entertainment will outperform: Sukhani"
10.10 am,2016-04-13,CNBC-TV18,"Buy L&T;, TCS, Axis Bank, Dabur India: Sudarshan Sukhani"
9.44 am,2016-04-14,PTI,India home to 56 of the world's largest public firms: Forbes
11.08 am,2016-04-15,CNBC-TV18,Here are some stock picks from SP Tulsian
11.38 am,2016-04-16,CNBC-TV18,"Short Bharti Infratel, TCS, Tata Steel, SBI, ICICI Bank: Gujral"
9.34 am,2016-04-17,CNBC-TV18,"Buy RCF, Lupin; sell TCS, Just Dial, Tata Steel: Ashwani Gujral"
9.56 pm,2016-04-18,Moneycontrol.com,"TCS Q1 results on July 14, 2016"
3.19 pm,2016-04-19,CNBC-TV18,"Buy HUL, CONCOR, Ambuja Cements; sell TCS: Chandan Taparia"
2.54 pm,2016-04-20,CNBC-TV18,"Buy Cadila Health, Hindustan Unilever; sell TCS: Sandeep Wagle"
2.42 pm,2016-04-21,Moneycontrol.com,TCS partners with Royal College of Physicians of Ireland
9.11 am,2016-04-22,CNBC-TV18,Here are SP Tulsian's top trading ideas
12.04 pm,2016-04-23,CNBC-TV18,"Sell TCS on bounce, target Rs 2400: Chandan Taparia"
9.44 am,2016-04-24,CNBC-TV18,"Buy TCS, Snowman Logistics, Colgate; short Bosch: Rajat Bose"
2.36 pm,2016-04-25,CNBC-TV18,"Buy Biocon, Bajaj Finance; sell TCS: Ashwani Gujral"
11.43 am,2016-04-26,Moneycontrol.com,Best buys: Which stocks are brokerages backing after Brexit
11.25 am,2016-04-27,CNBC-TV18,"Buy AB Nuvo, Exide Industries; sell TCS: Sandeep Wagle"
9.15 am,2016-04-28,Moneycontrol.com,Which Indian IT stock can beat Brexit storm as uncertainty rises
1.19 pm,2016-04-29,CNBC-TV18,"Sell TCS; buy YES Bank, Sun Pharmaceutical: Ashwani Gujral"
7.04 am,2016-04-30,Moneycontrol.com,Brexit: Which Indian IT cos may gain or fall on EU referendum
11.30 am,2016-05-01,PTI,TCS partners 4 colleges for creating Big Data talent
3.20 pm,2016-05-02,CNBC-TV18,"Buy Hero Moto, Tech Mahindra, TCS: Ashwani Gujral"
2.46 pm,2016-05-03,CNBC-TV18,"Buy Reliance Industries, TCS, ACC: Sudarshan Sukhani"
1.18 pm,2016-05-04,Moneycontrol.com,TCS & Sernova Financial in strategic partnership
1.11 pm,2016-05-05,CNBC-TV18,"Buy M&M; Financial, YES Bank, UPL, L&T; positive on DLF: Gujral"
12.30 pm,2016-05-06,CNBC-TV18,"Sell M&M; Financial, Tech Mahindra; buy Tata Motors: Gujral"
9.15 am,2016-05-07,Moneycontrol.com,"Lowest Q1 volume growth in 8 yrs worry TCS, but analysts bullish"
8.51 am,2016-05-08,CNBC-TV18,"See limited returns from TCS, prefer Infosys: Edelweiss"
8.36 am,2016-05-09,Moneycontrol.com,"Houseviews: Analysts bet on 7 largecaps, 5 midcaps for profit"
8.20 am,2016-05-10,PTI,TCS watching Europe post-Brexit; says no caution to report yet
6.40 pm,2016-05-11,CNBC-TV18,"What are 3 key headwinds for TCS? Brexit, currency & visa regime"
5.04 pm,2016-05-12,CNBC-TV18,"Experts divided on TCS margin numbers, say stock will rise"
4.23 pm,2016-05-13,CNBC-TV18,"Buy Infosys, Tata Consultancy Services: Prakash Diwan"
4.19 pm,2016-05-14,Moneycontrol.com,"TCS Q1 profit beats forecast at Rs 6318cr, $ revenue rises 3.7%"
10.51 am,2016-05-15,CNBC-TV18,"TCS, Infosys Q1 to grow 4% in constant-currency terms: Prabhudas"
9.41 am,2016-05-16,CNBC-TV18,"Buy TCS, Infosys, GMDC, Vardhman Tex, Exide: Ashwani Gujral"
9.09 am,2016-05-17,CNBC-TV18,Here are a few investment ideas from Mayuresh Joshi
6.24 pm,2016-05-18,Moneycontrol.com,TCS Q1 profit seen down 3% at Rs 6176 cr: Motilal Oswal
5.41 pm,2016-05-19,CNBC-TV18,"TCS Q1 profit seen down 4.7%, dollar revenue growth may be 3.8%"
3.15 pm,2016-05-20,CNBC-TV18,"Hold TCS, may test Rs 2680: Shahina Mukadam"
12.17 pm,2016-05-21,CNBC-TV18,"Buy TCS, Bata India, Essel Propack, JSW Steel: Ashwani Gujral"
9.12 am,2016-05-22,Moneycontrol.com,TCS Q1 PAT may fall 3.6% at Rs 6112.8 cr: ICICIdirect
3.08 pm,2016-05-23,CNBC-TV18,"Q1 earnings: Which sectors will do well, which won't?"
9.12 am,2016-05-24,CNBC-TV18,"Buy Tata Consultancy Services, targets Rs 2502-2520: Rajat Bose"
2.42 pm,2016-05-25,PTI,TCS Non-Executive Director Phiroz Vandrevala steps down
11.27 am,2016-05-26,CNBC-TV18,"Buy TCS; short Larsen & Toubro, Siemens: Mitesh Thacker"
9.26 am,2016-05-27,CNBC-TV18,"Buy Zee Entertainment, Tata Consultancy Services: Sukhani"
9.55 am,2016-05-28,CNBC-TV18,"Prefer Infosys, HCL Tech, Wipro in IT; -ve on TCS & TechM'"
3.14 pm,2016-05-29,CNBC-TV18,"Short ITC, TCS; buy Yes Bank: Amit Harchekar"
9.26 am,2016-05-30,CNBC-TV18,Preference would be Infosys followed by HCL Tech: SP Tulsian
4.09 pm,2016-05-31,CNBC-TV18,"Bullish on NBCC, Engineers India, Suprajit Engineering: IIFL"
2.04 pm,2016-06-01,PTI,"Top 8 cos add Rs 46,505 cr in market valuation; TCS shines"
11.20 am,2016-06-02,NEWS18.com,"Adani Ports, TCS, Infosys among Forbes super 50 list"
3.30 pm,2016-06-03,PTI,"Top seven cos add Rs 27,904 crore in market valuation"
10.30 am,2016-06-04,Moneycontrol.com,"IT an ugly duckling for now, but this stock may be a bargain: CS"
3.15 pm,2016-06-05,CNBC-TV18,"Avoid IT stocks, prefer Fortis Healthcare: Shahina Mukadam"
7.56 am,2016-06-06,CNBC-TV18,"Bull's Eye: Buy Ceat, Crompton, IOC, BEML; sell Dabur, TCS"
7.56 am,2016-06-07,PTI,Brexit could delay some discretionary spend: Wipro
8.28 pm,2016-06-08,PTI,TCS recognised as leader by Everest Group report
4.38 pm,2016-06-09,CNBC-TV18,Prefer TCS over Wipro: Sharmila Joshi
10.44 am,2016-06-10,CNBC-TV18,"Sell Tech Mahindra, Mindtree: Ashwani Gujral"
9.36 am,2016-06-11,CNBC-TV18,"Go long in Reliance Industries, says Sudarshan Sukhani"
9.16 am,2016-06-12,CNBC-TV18,Don't rush to buy these post-Q1 largecaps: Elara Cap
9.55 pm,2016-06-13,CNBC-TV18,Infosys vs TCS: How they stack up after Q1
3.05 pm,2016-06-14,CNBC-TV18,"Buy Lupin, HDFC Bank, Bharti Airtel: Ashwani Gujral"
11.35 am,2016-06-15,Moneycontrol.com,Are IT cos giving the sector a poor name by lowering guidance?
10.35 am,2016-06-16,CNBC-TV18,Nasscom to review IT guidance for this fiscal after Q2 earnings
9.27 am,2016-06-17,CNBC-TV18,"Buy Siemens, Tata Chemicals; sell Tech Mahindra, TCS: Gujral"
8.40 am,2016-06-18,CNBC-TV18,"TCS cautious on its BFSI biz, to update investors in Q2"
8.52 pm,2016-06-19,PTI,TCS and GE to revolutionise gas turbine manufacturing
12.41 pm,2016-06-20,CNBC-TV18,Here are some trading bets from Mehraboon Irani
6.36 pm,2016-06-21,PTI,Tata group entities team up with world's top universities
6.36 pm,2016-06-22,PTI,TCS recognised in leadership zones in new report by Zinnov
12.54 pm,2016-06-23,PTI,"Tata, Yale form alliance for promoting research"
10.56 am,2016-06-24,CNBC-TV18,"Sell Strides Shasun, Larsen & Toubro: Ashwani Gujral"
9.14 pm,2016-06-25,CNBC-TV18,"Tulsian's take on Trident, IGL, Century Textiles & other stocks"
1.52 pm,2016-06-26,PTI,TCS settles Orange County lawsuit for $26 mn; shares down
8.45 am,2016-06-27,Moneycontrol.com,Investment tips: 6 bumper stocks that analysts are focusing on
2.41 pm,2016-06-28,CNBC-TV18,"Buy Lloyd Electric, Jain Irrigation; sell TCS: Ashwani Gujral"
11.32 am,2016-06-29,CNBC-TV18,"Buy Sun TV; avoid Idea Cellular, Bharti Infratel: Sukhani"
6.00 pm,2016-06-30,PTI,JetBlue extends agreement with TCS
12.37 pm,2016-07-01,CNBC-TV18,"Buy TVS Motor; sell Ambuja Cements, ICICI Bank: Ashwani Gujral"
11.54 am,2016-07-02,CNBC-TV18,"Buy Tata Communications, sell TCS: Mitesh Thacker"
10.12 am,2016-07-03,CNBC-TV18,Brexit will create uncertainty but may not hit IT cos much: Pros
2.54 pm,2016-07-04,CNBC-TV18,"Buy Cipla, Reliance Capital; sell TCS: Ashwani Gujral"
2.13 pm,2016-07-05,CNBC-TV18,"Buy PC Jeweller, Bata, JSW Steel; sell LIC Housing: Gujral"
4.15 pm,2016-07-06,CNBC-TV18,"Buy Infosys, TCS at current level: Sudip Bandopadhyay"
3.52 pm,2016-07-07,CNBC-TV18,"Prefer Infosys, TCS, HCL Tech, Tech Mahindra: Gaurang Shah"
2.25 pm,2016-07-08,CNBC-TV18,"Buy Apollo Tyres, UltraTech Cement; sell TCS: Sandeep Wagle"
6.45 pm,2016-07-09,Moneycontrol.com,"TCS: Q2 results on October 13, 2016"
9.48 am,2016-07-10,PTI,Hindustan Zinc enters Rs 1 lakh cr m-cap league
4.22 pm,2016-07-11,CNBC-TV18,Investors upbeat over India's reforms push: BCG
10.16 am,2016-07-12,PTI,TCS recognised as leading global financial technology provider
7.50 am,2016-07-13,PTI,"Top six cos add Rs 33,985 cr in m-cap, RIL scales up the most"
3.00 pm,2016-07-14,Moneycontrol.com,"Don't prefer TCS, rate HCL Tech as outperform: Credit Suisse"
10.30 am,2016-07-15,PTI,Tata group strengthens presence in Myanmar
9.58 am,2016-07-16,Moneycontrol.com,"Buy, hold or sell?: Brokers analyse these 4 stocks"
9.37 pm,2016-07-17,CNBC-TV18,Adobe CEO Shantanu Narayen's advice to Indian IT cos
9.10 am,2016-07-18,Moneycontrol.com,"Buy, hold or sell?: Brokers analyse these 6 stocks"
11.20 am,2016-07-19,PTI,"Top four cos lose Rs 40,780 cr in mcap; TCS hit hard"
12.25 pm,2016-07-20,CNBC-TV18,"Underweight on IT sector, risks still remain: Abhay Laijawala"
12.54 pm,2016-07-21,Moneycontrol.com,"Red alert: IT stocks rally, TCS up 1% but sector pain to return"
8.54 am,2016-07-22,CNBC-TV18,Here are top trading stocks to keep an eye on September 9
8.31 am,2016-07-23,Moneycontrol.com,"Buy, sell or hold: 6 stocks that analysts will focus today"
4.49 pm,2016-07-24,CNBC-TV18,"Amid profit warning, experts discuss bull vs bear case for TCS "
2.39 pm,2016-07-25,Moneycontrol.com,Hold TCS; target of Rs 2584: Arihant Capital
12.30 pm,2016-07-26,CNBC-TV18,"Sell Zee Entertainment, Bata India; buy GNFC: Ashwani Gujral"
12.00 pm,2016-07-27,CNBC-TV18,"Despite steady Q2, analysts red flag Infosys over guidance cut"
11.59 am,2016-07-28,CNBC-TV18,NASSCOM to wait for more earnings before reviewing FY17 guidance
11.33 am,2016-07-29,Moneycontrol.com,Cautious analysts lower growth estimates post TCS Q2
9.51 am,2016-07-30,CNBC-TV18,"Buy Petronet LNG, Bharat Fin Inclusion; sell Jet, Axis Bk:Gujral"
9.25 am,2016-07-31,CNBC-TV18,Here are Deven Choksey's top trading ideas
8.48 am,2016-08-01,Moneycontrol.com,"Buy, sell or hold: 5 most important stocks to focus today"
7.36 am,2016-08-02,PTI,"TCS' Chandrasekaran shrugs off Trump, Brexit fears"
7.27 pm,2016-08-03,CNBC-TV18,TCS confident of maintaining margins; end year at good level
5.29 pm,2016-08-04,CNBC-TV18,"More pain in store for TCS, growth woes priced in stock: Pros"
5.14 pm,2016-08-05,Moneycontrol.com,Tata Consultancy Services: Announces Q2 Results (Standalone & Consolidated)
5.09 pm,2016-08-06,Moneycontrol.com,Tata Consultancy Services declares a Second Interim Dividend of Rs. 6.50
4.40 pm,2016-08-07,Moneycontrol.com,"TCS Q2 net up 4% at Rs 6586cr, $ rev disappoints, margins steady"
3.16 pm,2016-08-08,CNBC-TV18,"TCS may test Rs 2100, says Rajat Bose"
11.16 am,2016-08-09,CNBC-TV18,IT sector to bottom out; to watch TCS guidance on BFSI: Experts
10.06 am,2016-08-10,CNBC-TV18,"IT sector beaten down, no great expectation from TCS: Expert"
5.46 pm,2016-08-11,Moneycontrol.com,TCS Q2 PAT seen down 1.4% at Rs 6231.1 cr: Kotak Sec.
3.04 pm,2016-08-12,Moneycontrol.com,"TCS Q2 net seen down at Rs 6260 cr, dollar revenue may rise 1.8%"
5.44 pm,2016-08-13,Moneycontrol.com,TCS Q2 PAT seen down 2.2% at Rs 6178.2 cr: Motilal Oswal
10.31 am,2016-08-14,CNBC-TV18,"Buy TCS, Infosys, HUL, REC, Shriram Trans; sell JSPL: Sukhani"
7.52 pm,2016-08-15,CNBC-TV18,Experts do not see much downside for Wipro going forward
6.03 pm,2016-08-16,Moneycontrol.com,Hold TCS; target of Rs 2505: Geojit BNP Paribas
12.57 pm,2016-08-17,Moneycontrol.com,Accumulate TCS; target of Rs 2570: KR Choksey
9.48 am,2016-08-18,CNBC-TV18,HCL Tech can continue to outperform the sector: Experts
3.42 pm,2016-08-19,CNBC-TV18,"Buy TCS, Whirlpool; Yes Bank looks good: Rajat Bose"
5.11 pm,2016-08-20,Moneycontrol.com,Hold TCS; target of Rs 2275: Axis Direct
5.55 pm,2016-08-21,Moneycontrol.com,Accumulate TCS; target of Rs 2650: Prabhudas Lilladher
4.15 pm,2016-08-22,Moneycontrol.com,TCS extends partnership with Singapore Marathon
2.50 pm,2016-08-23,CNBC-TV18,"Buy LIC Housing Finance, TCS, Bharat Electronics: Mitesh Thacker"
8.54 am,2016-08-24,PTI,TCS given prestigious title for sixth consecutive year
8.48 am,2016-08-25,Moneycontrol.com,"Tata Group to gain from Brexit, fall in pound sterling"
5.30 pm,2016-08-26,Moneycontrol.com,Hold TCS; target of Rs 2530: Centrum
5.30 pm,2016-08-27,Moneycontrol.com,Buy TCS; target of Rs 2600: ICICI Direct
3.38 pm,2016-08-28,CNBC-TV18,"Sell Andhra Bank, Dish TV; buy DHFL: Mitesh Thacker"
1.28 pm,2016-08-29,PTI,Infosys sees no 'particular' impact of Brexit
7.29 pm,2016-08-30,CNBC-TV18,Infosys still a long-term buy; like Tube Investments: Tulsian
4.26 pm,2016-08-31,Moneycontrol.com,"TCS gains 2%, Infosys falls 5% but which IT co fared well in Q2?"
4.12 pm,2016-09-01,CNBC-TV18,"Buy Infosys, Persistent Systems: Sudip Bandopadhyay"
2.40 pm,2016-09-02,Moneycontrol.com,Hold TCS; target of Rs 2320: Edelweiss
4.28 pm,2016-09-03,PTI,Foreign investors seek speedy resolution of Tata-Mistry feud
2.34 pm,2016-09-04,CNBC-TV18,"Sell TCS, UPL; buy Strides Shasun: Ashwani Gujral"
4.04 pm,2016-09-05,PTI,Indian IT industry can bounce back: Gopalakrishnan
8.43 am,2016-09-06,Moneycontrol.com,LIC trimmed stake in Tata Group cos with Cyrus Mistry at helm
11.40 pm,2016-09-07,CNBC-TV18,Ramadorai to advise Ratan Tata over Mistry row: Sources
9.17 am,2016-09-08,CNBC-TV18,"Sell TCS, Titan, Zee Ent; buy Schneider Electric: Gujral"
3.50 pm,2016-09-09,PTI,"Top 6 cos lose Rs 26,191 cr in m-cap, Infosys hit hard"
9.12 am,2016-09-10,PTI,"Tata group companies lose over Rs 26,000 cr in mcap in 3 days"
12.03 pm,2016-09-11,Reuters,Ousted Tata boss's hostile defence takes boardroom battle public
9.21 am,2016-09-12,Moneycontrol.com,No drop in Tata Sons dividend payout after Mistry appointment
12.00 pm,2016-09-13,CNBC-TV18,TCS chief's elevation to Tata Sons Board fitting: Nasscom prez
8.08 am,2016-09-14,PTI,"Tata Sons inducts Ralf Speth, N Chandrasekaran on board"
12.36 pm,2016-09-15,Reuters,Tata management shake-up may slow group's debt reduction process
12.16 pm,2016-09-16,Moneycontrol.com,"Buy, sell, hold: 12 stocks to focus before it's too late"
10.31 am,2016-09-17,Moneycontrol.com,Quick take: How to trade Tata group stocks post Mistry?s exit?
9.55 am,2016-09-18,CNBC-TV18,Here are a few investment ideas from Prakash Diwan
8.35 am,2016-09-19,CNBC-TV18,"Ratan Tata in the saddle is positive in long-term, feel experts"
7.36 pm,2016-09-20,PTI,Tata Group's market-cap doubled under Mistry's leadership
4.59 pm,2016-09-21,Moneycontrol.com,Tata Sons sacks Cyrus Mistry as Chairman
3.44 pm,2016-09-22,CNBC-TV18,"Buy Uflex, Magma Fincorp, Canara Bank: Ashwani Gujral"
2.32 pm,2016-09-23,CNBC-TV18,"Buy HDFC, sell Tata Consultancy Services: Rajat Bose"
7.44 am,2016-09-24,Moneycontrol.com,Tata Sons board meet may discuss removing Mistry's proxy powers
7.30 am,2016-09-25,PTI,Tata-Mistry feud: Key board meets of 2 Tata group cos today
12.26 pm,2016-09-26,CNBC-TV18,"Buy TCS, Infosys; sell Kotak Mahindra Bank, SRF: Ashwani Gujral"
12.10 pm,2016-09-27,CNBC-TV18,"Sell PC Jeweller, Titan Company; buy TCS: Ashwani Gujral"
11.52 am,2016-09-28,CNBC-TV18,"Buy SBI, ICICI Bank, TCS, Infosys, Sun Pharma: VK Sharma"
7.32 pm,2016-09-29,PTI,Nasscom may lower IT export revenue growth forecast tomorrow
3.17 pm,2016-09-30,CNBC-TV18,"Sell Tata Motors DVR, Axis Bank; buy TCS: Ashwani Gujral"
8.15 am,2016-10-01,Moneycontrol.com,Tata Global directors may back Mistry in board meet today
12.04 pm,2016-10-02,PTI,Tata-Mistry spat unlikely to hit TCS operations: Analysts
12.00 pm,2016-10-03,PTI,"Top six companies lose Rs 91,800 cr in market valuation"
8.32 am,2016-10-04,PTI,Tata-Mistry row: Institutional investors' vote to be decisive
8.00 am,2016-10-05,PTI,"Mistry camp dubs Tata Sons' claims unsubstantiated, half-truth"
10.18 pm,2016-10-06,PTI,Mistry may up offensive against Tatas next week
1.10 pm,2016-10-07,PTI,Cyrus Mistry removed as TCS chairman; IHCL calls EGM
12.36 pm,2016-10-08,CNBC-TV18,Tata Sons to call EGM to take up removal of Mistry: Sources
8.14 am,2016-10-09,CNBC-TV18,Ishaat Hussain appointed interim Chairman of TCS Board
1.54 pm,2016-10-10,CNBC-TV18,"Buy Bajaj Holdings; sell TCS, ICICI Bank: Ashwani Gujral"
10.40 am,2016-10-11,CNBC-TV18,"Buy BHEL, Hindustan Zinc, NTPC; sell Dish TV, TCS: Sukhani"
8.15 am,2016-10-12,Moneycontrol.com,Tata Sons board knew of Mistry's exit strategy for group cos
9.47 am,2016-10-13,Moneycontrol.com,LIC preps up to vote in Tata EGMs called for Mistry's removal
12.28 pm,2016-10-14,PTI,Tata Sons' shareholders discord may hit group cos: S&P;
11.55 am,2016-10-15,Reuters,"Fearing tighter US visa regime, Indian IT firms rush to hire"
2.00 pm,2016-10-16,PTI,"Mistry, Wadia to contest removal from Tata Motors at EGM"
2.18 pm,2016-10-17,CNBC-TV18,"Sell Tata Motors; buy TCS, Hindalco: Ashwani Gujral "
2.18 pm,2016-10-18,PTI,TCS to implement unified global process blueprint for ASML
12.40 pm,2016-10-19,CNBC-TV18,"Short Sun TV Bata India, Ceat: Sudarshan Sukhani"
7.32 am,2016-10-20,PTI,FC Kohli debunks Cyrus Mistry's TCS sale claim
7.06 pm,2016-10-21,CNBC-TV18,Ex TCS CEO says at no point Tata Grp intended to sell co to IBM
9.30 am,2016-10-22,PTI,Tata Sons asks Tata Power to call EGM; Tata Chemicals sets date
8.08 am,2016-10-23,PTI,"Ratan Tata tried to sell TCS, made Corus deal expensive: Mistry"
6.28 pm,2016-10-24,CNBC-TV18,"TCS, JLR not on auto-pilot during my tenure: Mistry"
12.24 pm,2016-10-25,CNBC-TV18,"Go long in Tata Consultancy Services, ONGC: Hemant Thukral"
8.52 am,2016-10-26,PTI,Indian Hotels convenes EGM on Dec 20 to seek Mistry removal
8.00 am,2016-10-27,PTI,"Mistry's conduct caused harm to TCS, stakeholders: Tata Sons"
5.52 pm,2016-10-28,PTI,"Mistry's conduct caused enormous harm to co, stakeholders: TCS"
8.55 am,2016-10-29,Moneycontrol.com,"Tata Consultancy Services' EGM on December 13, 2016"
8.34 pm,2016-10-30,PTI,Mistry skips 2 key board meets of Tata group firms
8.34 pm,2016-10-31,PTI,TCS EGM on Dec 13 to consider removal of Mistry as director
3.00 pm,2016-11-01,CNBC-TV18,"After TCS meet, Mistry skips Tata Sons meeting today"
7.38 am,2016-11-02,PTI,Cyrus Mistry removed as director of TCS
9.38 pm,2016-11-03,CNBC-TV18,Tougher days ahead for Mistry as Tata feud enters seventh week
6.07 pm,2016-11-04,CNBC-TV18,"Regulators must step in, verify Mistry's allegations: ex-Sebi ED"
3.52 pm,2016-11-05,PTI,"Not hankering for office, fight is to save soul of group: Mistry"
3.17 pm,2016-11-06,CNBC-TV18,"Cyrus Mistry hits out, says fighting to save Tata Group's soul"
3.13 pm,2016-11-07,CNBC-TV18,Six in Sixty: Stocks you should keep on your radar 
10.02 am,2016-11-08,CNBC-TV18,"Buy L&T;, NCC; short Shriram Transport, Jubilant Food: Sukhani"
7.38 pm,2016-11-09,PTI,"Key test for Tata, Mistry as TCS shareholders vote on Dec 13"
3.34 pm,2016-11-10,CNBC-TV18,"Prefer HCL Technologies, says Gaurang Shah"
9.56 am,2016-11-11,CNBC-TV18,"Buy Ceat, Apollo Tyres; short Jet Airways, avoid IT: Sukhani"
6.04 pm,2016-11-12,PTI,"Mistry misled to become chairman, retracted on promises:Tatas"
11.54 am,2016-11-13,PTI,"Nine of top 10 firms add Rs 56,112 cr in m-cap; ONGC, RIL shine"
5.32 pm,2016-11-14,PTI,Top 100 cos created Rs 28 lakh cr wealth in past 5 years: Study
11.00 am,2016-11-15,PTI,"TCS, Deloitte, EY make it to shortlist for GST interface"
2.28 pm,2016-11-16,PTI,No compelling reason for Mistry's removal as director: InGovern
11.36 am,2016-11-17,PTI,Conferment of power in 'high command' breach of trust: Mistry
